0,1,2,3,4,5,6,7,8,9,10
yogurt,cream cheese ,,,,,,,,,
pip fruit,pastry,,,,,,,,,
pip fruit,tropical fruit,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
salty snack,pip fruit,chicken,rolls/buns,red/blush wine,,,,,,
canned beer,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
other vegetables,salty snack,pickled vegetables,,,,,,,,
sausage,butter,specialty bar,soda,whipped/sour cream,,,,,,
rolls/buns,shopping bags,,,,,,,,,
citrus fruit,soda,,,,,,,,,
butter,detergent,,,,,,,,,
white bread,bottled water,,,,,,,,,
citrus fruit,butter milk,,,,,,,,,
hamburger meat,brown bread,,,,,,,,,
citrus fruit,newspapers,,,,,,,,,
canned beer,yogurt,coffee,,,,,,,,
soda,chocolate,,,,,,,,,
sausage,detergent,salty snack,,,,,,,,
pip fruit,light bulbs,bottled water,ketchup,,,,,,,
rolls/buns,pet care,,,,,,,,,
long life bakery product,onions,,,,,,,,,
canned beer,shopping bags,hard cheese,,,,,,,,
brown bread,coffee,,,,,,,,,
ham,roll products ,brown bread,,,,,,,,
beef,frozen vegetables,,,,,,,,,
soda,semi-finished bread,,,,,,,,,
photo/film,frozen potato products,,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
pork,root vegetables,,,,,,,,,
other vegetables,frozen dessert,shopping bags,,,,,,,,
pastry,canned beer,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
turkey,sugar,,,,,,,,,
pastry,shopping bags,,,,,,,,,
meat,butter milk,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
white bread,pot plants,,,,,,,,,
beef,canned beer,,,,,,,,,
white wine,bottled water,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
yogurt,sausage,whole milk,shopping bags,white bread,dog food,baking powder,sliced cheese,,,
sausage,rolls/buns,,,,,,,,,
sausage,whole milk,whipped/sour cream,yogurt,,,,,,,
tropical fruit,soda,,,,,,,,,
rolls/buns,instant coffee,UHT-milk,margarine,,,,,,,
pip fruit,ice cream,,,,,,,,,
other vegetables,yogurt,pastry,,,,,,,,
pip fruit,whole milk,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
whole milk,whole milk,,,,,,,,,
canned beer,coffee,,,,,,,,,
meat,frozen potato products,,,,,,,,,
chicken,onions,white bread,,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
beverages,pastry,,,,,,,,,
napkins,rolls/buns,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
chicken,hygiene articles,,,,,,,,,
bottled water,chewing gum,beef,brown bread,,,,,,,
rolls/buns,packaged fruit/vegetables,,,,,,,,,
tropical fruit,pickled vegetables,bottled beer,,,,,,,,
seasonal products,white wine,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
grapes,grapes,,,,,,,,,
frankfurter,margarine,,,,,,,,,
tropical fruit,sausage,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
specialty bar,frozen meals,kitchen towels,whole milk,,,,,,,
beef,butter,,,,,,,,,
baking powder,condensed milk,,,,,,,,,
coffee,onions,,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
beef,chocolate,,,,,,,,,
beef,whole milk,newspapers,,,,,,,,
curd,tropical fruit,,,,,,,,,
citrus fruit,spread cheese,,,,,,,,,
berries,whole milk,other vegetables,,,,,,,,
tropical fruit,frozen fruits,,,,,,,,,
other vegetables,soda,,,,,,,,,
UHT-milk,coffee,,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
bottled water,whole milk,domestic eggs,domestic eggs,,,,,,,
liquor,yogurt,napkins,,,,,,,,
sausage,bottled beer,bottled water,,,,,,,,
tropical fruit,hygiene articles,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
pork,specialty bar,long life bakery product,,,,,,,,
salty snack,bottled water,,,,,,,,,
soda,margarine,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
whole milk,dessert,,,,,,,,,
other vegetables,butter milk,,,,,,,,,
sausage,chocolate,specialty chocolate,cocoa drinks,,,,,,,
whole milk,butter,,,,,,,,,
pip fruit,cake bar,,,,,,,,,
sausage,soda,,,,,,,,,
whole milk,soda,soda,,,,,,,,
whole milk,frozen meals,rolls/buns,,,,,,,,
soda,rolls/buns,,,,,,,,,
beef,whole milk,root vegetables,whipped/sour cream,whipped/sour cream,other vegetables,,,,,
sausage,misc. beverages,,,,,,,,,
chewing gum,cream cheese ,,,,,,,,,
bottled water,frozen vegetables,,,,,,,,,
candy,shopping bags,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
misc. beverages,packaged fruit/vegetables,,,,,,,,,
soda,domestic eggs,,,,,,,,,
meat,sausage,cake bar,root vegetables,,,,,,,
onions,curd,,,,,,,,,
soda,other vegetables,,,,,,,,,
brown bread,bottled beer,,,,,,,,,
whole milk,salty snack,rolls/buns,,,,,,,,
canned beer,curd,pastry,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
whole milk,sausage,pastry,spices,soda,,,,,,
other vegetables,other vegetables,liquor (appetizer),specialty bar,candles,red/blush wine,,,,,
other vegetables,soda,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
finished products,UHT-milk,,,,,,,,,
chocolate,frozen meals,,,,,,,,,
curd,whipped/sour cream,margarine,,,,,,,,
other vegetables,onions,,,,,,,,,
canned beer,other vegetables,margarine,,,,,,,,
cat food,newspapers,,,,,,,,,
spices,cookware,,,,,,,,,
root vegetables,butter,frozen vegetables,butter,,,,,,,
specialty bar,chicken,,,,,,,,,
salty snack,brown bread,,,,,,,,,
pork,ice cream,yogurt,,,,,,,,
grapes,chocolate,,,,,,,,,
pip fruit,beverages,margarine,soda,,,,,,,
white wine,frozen potato products,,,,,,,,,
pastry,whole milk,,,,,,,,,
sausage,pip fruit,,,,,,,,,
sausage,margarine,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,coffee,,,,,,,,,
newspapers,soups,,,,,,,,,
flour,dessert,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
hamburger meat,bottled beer,coffee,instant coffee,yogurt,,,,,,
other vegetables,frankfurter,whole milk,sausage,misc. beverages,margarine,yogurt,frozen meals,cat food,,
pastry,bottled beer,,,,,,,,,
pork,pork,whole milk,pasta,,,,,,,
pork,liquor,,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
frozen fish,salty snack,,,,,,,,,
root vegetables,hard cheese,pastry,,,,,,,,
brown bread,margarine,chocolate,fruit/vegetable juice,,,,,,,
frankfurter,soda,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
oil,specialty vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,onions,shopping bags,,,,,,,,
white wine,Instant food products,,,,,,,,,
brown bread,dish cleaner,,,,,,,,,
sausage,pet care,,,,,,,,,
curd,butter milk,,,,,,,,,
bottled water,soda,domestic eggs,jam,whole milk,,,,,,
rolls/buns,domestic eggs,napkins,,,,,,,,
whole milk,napkins,napkins,,,,,,,,
tropical fruit,dessert,,,,,,,,,
beef,rolls/buns,,,,,,,,,
pastry,frozen vegetables,,,,,,,,,
detergent,newspapers,other vegetables,ketchup,,,,,,,
other vegetables,whipped/sour cream,salty snack,,,,,,,,
whole milk,pasta,whipped/sour cream,,,,,,,,
whole milk,hard cheese,,,,,,,,,
liver loaf,vinegar,whole milk,,,,,,,,
bottled water,bottled beer,,,,,,,,,
brown bread,rolls/buns,,,,,,,,,
whole milk,salty snack,,,,,,,,,
brown bread,frozen fish,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
bottled water,whole milk,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
whole milk,mustard,,,,,,,,,
soda,misc. beverages,,,,,,,,,
canned beer,pork,,,,,,,,,
brown bread,soda,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
grapes,processed cheese,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
chicken,tropical fruit,whipped/sour cream,,,,,,,,
pip fruit,pastry,,,,,,,,,
beef,newspapers,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
tropical fruit,grapes,ice cream,sweet spreads,,,,,,,
UHT-milk,whole milk,newspapers,domestic eggs,,,,,,,
other vegetables,specialty bar,,,,,,,,,
margarine,canned vegetables,,,,,,,,,
condensed milk,pastry,,,,,,,,,
bottled water,specialty bar,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
sausage,fruit/vegetable juice,whole milk,curd,,,,,,,
butter milk,hygiene articles,,,,,,,,,
other vegetables,soda,soda,,,,,,,,
yogurt,jam,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
chocolate,tropical fruit,,,,,,,,,
white wine,canned vegetables,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
rolls/buns,grapes,shopping bags,,,,,,,,
UHT-milk,canned beer,,,,,,,,,
frozen meals,other vegetables,bottled beer,,,,,,,,
citrus fruit,white bread,,,,,,,,,
hamburger meat,bottled beer,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
pot plants,pickled vegetables,house keeping products,,,,,,,,
bottled beer,ice cream,pastry,red/blush wine,,,,,,,
beef,herbs,,,,,,,,,
citrus fruit,flour,,,,,,,,,
soda,chocolate,,,,,,,,,
onions,citrus fruit,white bread,dessert,shopping bags,,,,,,
root vegetables,yogurt,soda,shopping bags,oil,shopping bags,,,,,
whole milk,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
sausage,liver loaf,dish cleaner,white bread,canned beer,dishes,white wine,brown bread,,,
whole milk,dog food,,,,,,,,,
frankfurter,rolls/buns,coffee,white wine,,,,,,,
rolls/buns,butter milk,,,,,,,,,
zwieback,salty snack,,,,,,,,,
yogurt,pasta,,,,,,,,,
white bread,photo/film,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
pot plants,soda,hygiene articles,,,,,,,,
condensed milk,onions,,,,,,,,,
whole milk,other vegetables,other vegetables,sugar,,,,,,,
yogurt,pastry,,,,,,,,,
popcorn,flour,,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
tropical fruit,frozen fish,chewing gum,newspapers,,,,,,,
whole milk,hygiene articles,,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
soda,other vegetables,,,,,,,,,
bottled beer,grapes,candy,,,,,,,,
yogurt,hamburger meat,other vegetables,mustard,,,,,,,
frankfurter,shopping bags,bottled water,,,,,,,,
sausage,pot plants,,,,,,,,,
meat,citrus fruit,pip fruit,other vegetables,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
cat food,soda,yogurt,margarine,,,,,,,
sausage,other vegetables,,,,,,,,,
yogurt,whole milk,shopping bags,,,,,,,,
sausage,hygiene articles,,,,,,,,,
soda,margarine,,,,,,,,,
frankfurter,red/blush wine,other vegetables,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
salty snack,frozen meals,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pastry,grapes,,,,,,,,,
tropical fruit,specialty cheese,,,,,,,,,
other vegetables,chocolate,,,,,,,,,
misc. beverages,long life bakery product,,,,,,,,,
frankfurter,pork,pastry,canned vegetables,,,,,,,
sauces,rolls/buns,soda,whipped/sour cream,,,,,,,
citrus fruit,hamburger meat,rolls/buns,,,,,,,,
long life bakery product,waffles,,,,,,,,,
pip fruit,pip fruit,whipped/sour cream,shopping bags,domestic eggs,soda,cake bar,frozen meals,,,
white bread,pickled vegetables,,,,,,,,,
beef,shopping bags,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
organic sausage,pip fruit,newspapers,whipped/sour cream,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
white bread,zwieback,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
whole milk,frozen fish,,,,,,,,,
whole milk,yogurt,shopping bags,,,,,,,,
curd,chicken,,,,,,,,,
hamburger meat,yogurt,bottled water,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
soda,beef,other vegetables,semi-finished bread,shopping bags,white wine,,,,,
other vegetables,sliced cheese,,,,,,,,,
grapes,other vegetables,,,,,,,,,
margarine,whipped/sour cream,,,,,,,,,
pastry,curd,,,,,,,,,
sausage,house keeping products,,,,,,,,,
misc. beverages,rolls/buns,frozen vegetables,beverages,condensed milk,,,,,,
photo/film,shopping bags,,,,,,,,,
hard cheese,other vegetables,whole milk,zwieback,,,,,,,
white bread,rolls/buns,,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
beef,hair spray,,,,,,,,,
whole milk,onions,,,,,,,,,
other vegetables,ready soups,baking powder,,,,,,,,
root vegetables,yogurt,canned vegetables,,,,,,,,
citrus fruit,pastry,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
sliced cheese,newspapers,dog food,fruit/vegetable juice,rolls/buns,butter,hygiene articles,yogurt,,,
berries,UHT-milk,cream cheese ,,,,,,,,
whole milk,whole milk,,,,,,,,,
shopping bags,rice,,,,,,,,,
white bread,frozen fruits,,,,,,,,,
hamburger meat,cleaner,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
curd cheese,chocolate marshmallow,,,,,,,,,
cream cheese ,candles,,,,,,,,,
onions,whole milk,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
dish cleaner,soda,,,,,,,,,
sausage,waffles,,,,,,,,,
yogurt,coffee,coffee,,,,,,,,
root vegetables,mustard,,,,,,,,,
whole milk,rolls/buns,cling film/bags,,,,,,,,
decalcifier,grapes,,,,,,,,,
whole milk,margarine,,,,,,,,,
canned beer,soda,newspapers,,,,,,,,
other vegetables,waffles,,,,,,,,,
whole milk,finished products,beef,,,,,,,,
turkey,meat,rolls/buns,,,,,,,,
soda,frozen meals,,,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
root vegetables,pip fruit,other vegetables,canned beer,,,,,,,
herbs,vinegar,chocolate,cleaner,,,,,,,
whole milk,root vegetables,hygiene articles,,,,,,,,
sausage,other vegetables,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
sausage,berries,,,,,,,,,
brown bread,shopping bags,soda,,,,,,,,
whipped/sour cream,newspapers,,,,,,,,,
sausage,other vegetables,,,,,,,,,
other vegetables,cream cheese ,tropical fruit,root vegetables,specialty chocolate,,,,,,
sausage,soda,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
pip fruit,rum,,,,,,,,,
frankfurter,salt,,,,,,,,,
sausage,yogurt,pastry,,,,,,,,
tropical fruit,dessert,rolls/buns,long life bakery product,,,,,,,
newspapers,rolls/buns,,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
photo/film,grapes,,,,,,,,,
meat spreads,butter,,,,,,,,,
margarine,brandy,root vegetables,shopping bags,,,,,,,
berries,dessert,dessert,,,,,,,,
ham,other vegetables,,,,,,,,,
butter,roll products ,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
canned beer,citrus fruit,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
meat,whole milk,shopping bags,,,,,,,,
soda,cling film/bags,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
chewing gum,domestic eggs,packaged fruit/vegetables,,,,,,,,
pip fruit,brown bread,,,,,,,,,
butter,cleaner,red/blush wine,,,,,,,,
meat,coffee,,,,,,,,,
yogurt,hamburger meat,,,,,,,,,
ham,rolls/buns,canned fish,shopping bags,,,,,,,
onions,other vegetables,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
frozen meals,pip fruit,dish cleaner,processed cheese,,,,,,,
butter,syrup,pickled vegetables,whole milk,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
other vegetables,soda,frozen potato products,,,,,,,,
beverages,red/blush wine,,,,,,,,,
ham,UHT-milk,,,,,,,,,
pork,pip fruit,yogurt,salty snack,,,,,,,
domestic eggs,chocolate,,,,,,,,,
soda,bottled water,butter,,,,,,,,
butter,sugar,,,,,,,,,
bottled water,other vegetables,pastry,rolls/buns,domestic eggs,,,,,,
other vegetables,frozen meals,,,,,,,,,
butter,butter,,,,,,,,,
long life bakery product,brown bread,popcorn,,,,,,,,
dishes,other vegetables,,,,,,,,,
beef,chicken,newspapers,organic products,chocolate,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
pork,condensed milk,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
soda,whole milk,,,,,,,,,
tropical fruit,sugar,,,,,,,,,
dessert,dessert,flour,,,,,,,,
whole milk,rolls/buns,salty snack,,,,,,,,
pip fruit,butter milk,,,,,,,,,
sausage,soda,,,,,,,,,
margarine,rolls/buns,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,coffee,,,,,,,,,
canned vegetables,pasta,,,,,,,,,
pastry,soda,pastry,,,,,,,,
domestic eggs,frozen vegetables,curd,,,,,,,,
beverages,canned fish,,,,,,,,,
dessert,coffee,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
soft cheese,sugar,,,,,,,,,
root vegetables,berries,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
bottled beer,tropical fruit,newspapers,whole milk,tropical fruit,soft cheese,hard cheese,white wine,,,
whole milk,napkins,flour,,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
pastry,dish cleaner,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
seasonal products,salt,,,,,,,,,
cookware,spread cheese,,,,,,,,,
sausage,ice cream,,,,,,,,,
canned beer,butter,margarine,domestic eggs,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
citrus fruit,whole milk,fruit/vegetable juice,dishes,,,,,,,
brown bread,waffles,,,,,,,,,
meat,canned beer,yogurt,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
beef,ice cream,other vegetables,,,,,,,,
root vegetables,pasta,pip fruit,red/blush wine,,,,,,,
UHT-milk,fish,,,,,,,,,
misc. beverages,napkins,,,,,,,,,
meat,other vegetables,,,,,,,,,
tropical fruit,soda,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
canned fruit,whole milk,,,,,,,,,
pork,curd,curd cheese,misc. beverages,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
softener,dish cleaner,,,,,,,,,
coffee,whole milk,domestic eggs,,,,,,,,
beef,oil,,,,,,,,,
root vegetables,soda,,,,,,,,,
soda,citrus fruit,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
nuts/prunes,long life bakery product,,,,,,,,,
other vegetables,soda,,,,,,,,,
brown bread,beef,bottled beer,specialty fat,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
other vegetables,curd,,,,,,,,,
frozen meals,bottled beer,root vegetables,potato products,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
oil,herbs,,,,,,,,,
butter milk,sausage,UHT-milk,yogurt,canned beer,,,,,,
salty snack,yogurt,,,,,,,,,
root vegetables,whipped/sour cream,specialty bar,,,,,,,,
sausage,pot plants,,,,,,,,,
frankfurter,cream cheese ,long life bakery product,,,,,,,,
whipped/sour cream,pot plants,,,,,,,,,
root vegetables,soda,,,,,,,,,
root vegetables,ham,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
soda,frankfurter,bottled water,chicken,,,,,,,
yogurt,condensed milk,yogurt,,,,,,,,
soda,sausage,whole milk,beverages,shopping bags,,,,,,
meat,whole milk,,,,,,,,,
tropical fruit,margarine,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
misc. beverages,shopping bags,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
other vegetables,frozen meals,,,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
soda,bottled water,ice cream,,,,,,,,
sausage,pasta,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,salty snack,cling film/bags,,,,,,,,
white wine,coffee,,,,,,,,,
root vegetables,pastry,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
tropical fruit,chicken,onions,packaged fruit/vegetables,,,,,,,
tropical fruit,prosecco,,,,,,,,,
soda,specialty bar,,,,,,,,,
soda,napkins,,,,,,,,,
shopping bags,cake bar,,,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
canned beer,curd,,,,,,,,,
other vegetables,salty snack,,,,,,,,,
soda,misc. beverages,,,,,,,,,
whipped/sour cream,whole milk,,,,,,,,,
whipped/sour cream,candy,butter,,,,,,,,
waffles,ketchup,candy,,,,,,,,
canned beer,specialty bar,,,,,,,,,
tropical fruit,bottled water,dishes,,,,,,,,
whole milk,whipped/sour cream,soda,,,,,,,,
whole milk,dental care,,,,,,,,,
root vegetables,citrus fruit,other vegetables,pork,herbs,,,,,,
other vegetables,tropical fruit,,,,,,,,,
white wine,specialty cheese,,,,,,,,,
packaged fruit/vegetables,yogurt,,,,,,,,,
whipped/sour cream,UHT-milk,fruit/vegetable juice,,,,,,,,
nuts/prunes,butter,brown bread,,,,,,,,
whole milk,canned beer,cat food,,,,,,,,
shopping bags,misc. beverages,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,tropical fruit,root vegetables,Instant food products,margarine,,,,,,
salty snack,brown bread,napkins,,,,,,,,
yogurt,yogurt,,,,,,,,,
turkey,misc. beverages,bottled beer,butter,bottled water,margarine,seasonal products,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
whole milk,coffee,soft cheese,,,,,,,,
pip fruit,frozen vegetables,,,,,,,,,
pasta,shopping bags,,,,,,,,,
pasta,cream cheese ,,,,,,,,,
frozen vegetables,brown bread,rolls/buns,,,,,,,,
butter,shopping bags,,,,,,,,,
chewing gum,pot plants,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
salt,root vegetables,,,,,,,,,
chewing gum,sugar,,,,,,,,,
other vegetables,pip fruit,white bread,,,,,,,,
soda,long life bakery product,,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
tropical fruit,rice,,,,,,,,,
newspapers,dishes,,,,,,,,,
onions,specialty cheese,canned fish,,,,,,,,
dessert,whole milk,,,,,,,,,
liver loaf,processed cheese,,,,,,,,,
root vegetables,specialty chocolate,,,,,,,,,
whole milk,newspapers,,,,,,,,,
rolls/buns,frozen meals,,,,,,,,,
canned beer,whole milk,pork,oil,,,,,,,
pastry,yogurt,,,,,,,,,
beef,whole milk,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
sausage,white bread,,,,,,,,,
soda,sugar,,,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
grapes,bottled water,napkins,,,,,,,,
rolls/buns,butter,,,,,,,,,
soda,margarine,,,,,,,,,
canned beer,finished products,beverages,dishes,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
whipped/sour cream,margarine,,,,,,,,,
meat spreads,sliced cheese,,,,,,,,,
nuts/prunes,butter,soda,bottled beer,,,,,,,
rolls/buns,long life bakery product,root vegetables,,,,,,,,
soda,other vegetables,,,,,,,,,
turkey,shopping bags,,,,,,,,,
root vegetables,white bread,,,,,,,,,
packaged fruit/vegetables,other vegetables,,,,,,,,,
shopping bags,white wine,,,,,,,,,
white bread,fruit/vegetable juice,,,,,,,,,
chicken,pastry,,,,,,,,,
pork,rolls/buns,,,,,,,,,
specialty chocolate,soda,chocolate,,,,,,,,
rolls/buns,dessert,,,,,,,,,
frankfurter,bottled water,,,,,,,,,
shopping bags,whole milk,,,,,,,,,
root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
frozen potato products,chocolate marshmallow,,,,,,,,,
brown bread,bottled water,,,,,,,,,
citrus fruit,ham,,,,,,,,,
bottled beer,fruit/vegetable juice,fruit/vegetable juice,,,,,,,,
meat,photo/film,,,,,,,,,
ham,berries,,,,,,,,,
onions,chocolate,,,,,,,,,
frankfurter,bottled beer,whipped/sour cream,margarine,,,,,,,
pip fruit,onions,frozen fish,meat,semi-finished bread,root vegetables,bottled water,whipped/sour cream,,,
organic sausage,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,candles,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
sausage,pork,brown bread,waffles,whole milk,flower (seeds),oil,,,,
bottled beer,red/blush wine,,,,,,,,,
whole milk,margarine,rolls/buns,,,,,,,,
pip fruit,soda,detergent,,,,,,,,
other vegetables,coffee,,,,,,,,,
frankfurter,yogurt,waffles,,,,,,,,
whipped/sour cream,pastry,napkins,,,,,,,,
rolls/buns,canned beer,,,,,,,,,
soda,bottled water,,,,,,,,,
cat food,candles,whole milk,,,,,,,,
sausage,pastry,,,,,,,,,
sausage,canned beer,,,,,,,,,
meat,bottled beer,liquor,waffles,,,,,,,
sausage,tea,,,,,,,,,
citrus fruit,candy,,,,,,,,,
shopping bags,fruit/vegetable juice,,,,,,,,,
whole milk,curd,yogurt,,,,,,,,
cream cheese ,whole milk,,,,,,,,,
whipped/sour cream,fruit/vegetable juice,,,,,,,,,
pork,domestic eggs,,,,,,,,,
other vegetables,bottled water,,,,,,,,,
butter milk,pickled vegetables,,,,,,,,,
citrus fruit,flower (seeds),domestic eggs,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
pet care,other vegetables,,,,,,,,,
canned fish,soda,,,,,,,,,
frankfurter,seasonal products,,,,,,,,,
pastry,bottled beer,,,,,,,,,
whole milk,coffee,salty snack,root vegetables,yogurt,oil,soft cheese,,,,
bottled beer,canned beer,,,,,,,,,
beverages,packaged fruit/vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
bottled water,tropical fruit,shopping bags,,,,,,,,
soda,soda,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
brown bread,chocolate,,,,,,,,,
pet care,dog food,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
whole milk,pip fruit,,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
whole milk,chocolate marshmallow,rolls/buns,,,,,,,,
packaged fruit/vegetables,frozen fish,,,,,,,,,
soda,yogurt,,,,,,,,,
butter milk,yogurt,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
curd,whole milk,pet care,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
ham,whipped/sour cream,ketchup,,,,,,,,
tropical fruit,berries,,,,,,,,,
other vegetables,cream cheese ,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
sausage,fruit/vegetable juice,bottled water,,,,,,,,
bottled water,brown bread,,,,,,,,,
frankfurter,curd cheese,chocolate,pastry,soda,,,,,,
whole milk,butter,,,,,,,,,
pastry,shopping bags,,,,,,,,,
yogurt,newspapers,,,,,,,,,
